Entrenando Modelo Final...
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
--- Inicio entrenamiento: 400 épocas (17:56:47) ---
  Epo 117: Loss=0.1558 | Acc=94.35%
  Epo 118: Loss=0.1550 | Acc=94.35%
  Epo 119: Loss=0.1542 | Acc=94.45%
  Epo 120: Loss=0.1535 | Acc=94.45%
  Epo 121: Loss=0.1527 | Acc=94.45%
  Epo 122: Loss=0.1520 | Acc=94.50%
  Epo 123: Loss=0.1513 | Acc=94.55%
  Epo 124: Loss=0.1506 | Acc=94.55%
  Epo 125: Loss=0.1499 | Acc=94.55%
  Epo 126: Loss=0.1492 | Acc=94.60%
  Epo 127: Loss=0.1485 | Acc=94.70%
  Epo 128: Loss=0.1479 | Acc=94.80%
  Epo 129: Loss=0.1472 | Acc=94.80%
  Epo 130: Loss=0.1466 | Acc=94.80%
  Epo 131: Loss=0.1460 | Acc=94.75%
  Epo 132: Loss=0.1453 | Acc=94.80%
  Epo 133: Loss=0.1447 | Acc=94.80%
  Epo 134: Loss=0.1441 | Acc=94.80%
  Epo 135: Loss=0.1435 | Acc=94.85%
  Epo 136: Loss=0.1430 | Acc=94.95%
  Epo 137: Loss=0.1424 | Acc=94.95%
  Epo 138: Loss=0.1418 | Acc=94.95%
  Epo 139: Loss=0.1412 | Acc=94.95%
  Epo 140: Loss=0.1407 | Acc=94.95%
  Epo 141: Loss=0.1401 | Acc=94.95%
  Epo 142: Loss=0.1396 | Acc=94.95%
  Epo 143: Loss=0.1391 | Acc=94.95%
  Epo 144: Loss=0.1385 | Acc=94.95%
  Epo 145: Loss=0.1380 | Acc=95.00%
  Epo 146: Loss=0.1375 | Acc=95.00%
  Epo 147: Loss=0.1370 | Acc=95.00%
  Epo 148: Loss=0.1365 | Acc=95.00%
  Epo 149: Loss=0.1360 | Acc=95.00%
  Epo 150: Loss=0.1356 | Acc=95.00%
  Epo 151: Loss=0.1351 | Acc=95.05%
  Epo 152: Loss=0.1346 | Acc=95.15%
  Epo 153: Loss=0.1341 | Acc=95.20%
  Epo 154: Loss=0.1337 | Acc=95.20%
  Epo 155: Loss=0.1332 | Acc=95.15%
  Epo 156: Loss=0.1328 | Acc=95.35%
  Epo 157: Loss=0.1323 | Acc=95.35%
  Epo 158: Loss=0.1319 | Acc=95.40%
  Epo 159: Loss=0.1315 | Acc=95.45%
  Epo 160: Loss=0.1310 | Acc=95.50%
  Epo 161: Loss=0.1306 | Acc=95.50%
  Epo 162: Loss=0.1302 | Acc=95.50%
  Epo 163: Loss=0.1298 | Acc=95.45%
  Epo 164: Loss=0.1294 | Acc=95.50%
  Epo 165: Loss=0.1290 | Acc=95.50%
  Epo 166: Loss=0.1286 | Acc=95.50%
  Epo 167: Loss=0.1282 | Acc=95.50%
  Epo 168: Loss=0.1278 | Acc=95.50%
  Epo 169: Loss=0.1274 | Acc=95.55%
  Epo 170: Loss=0.1270 | Acc=95.55%
  Epo 171: Loss=0.1266 | Acc=95.60%
  Epo 172: Loss=0.1262 | Acc=95.60%
  Epo 173: Loss=0.1259 | Acc=95.60%
  Epo 174: Loss=0.1255 | Acc=95.60%
  Epo 175: Loss=0.1251 | Acc=95.55%
  Epo 176: Loss=0.1247 | Acc=95.55%
  Epo 177: Loss=0.1244 | Acc=95.55%
  Epo 178: Loss=0.1240 | Acc=95.55%
  Epo 179: Loss=0.1237 | Acc=95.55%
  Epo 180: Loss=0.1233 | Acc=95.55%
  Epo 181: Loss=0.1230 | Acc=95.60%
  Epo 182: Loss=0.1226 | Acc=95.60%
  Epo 183: Loss=0.1223 | Acc=95.65%
  Epo 184: Loss=0.1219 | Acc=95.70%
  Epo 185: Loss=0.1216 | Acc=95.70%
  Epo 186: Loss=0.1213 | Acc=95.70%
  Epo 187: Loss=0.1210 | Acc=95.70%
  Epo 188: Loss=0.1206 | Acc=95.70%
  Epo 189: Loss=0.1203 | Acc=95.70%
  Epo 190: Loss=0.1200 | Acc=95.75%
  Epo 191: Loss=0.1197 | Acc=95.75%
  Epo 192: Loss=0.1194 | Acc=95.75%
  Epo 193: Loss=0.1191 | Acc=95.75%
  Epo 194: Loss=0.1188 | Acc=95.80%
  Epo 195: Loss=0.1185 | Acc=95.80%
  Epo 196: Loss=0.1182 | Acc=95.80%
  Epo 197: Loss=0.1179 | Acc=95.80%
  Epo 198: Loss=0.1176 | Acc=95.80%
  Epo 199: Loss=0.1173 | Acc=95.85%
  Epo 200: Loss=0.1171 | Acc=95.85%
  Epo 201: Loss=0.1168 | Acc=95.80%
  Epo 202: Loss=0.1165 | Acc=95.80%
  Epo 203: Loss=0.1162 | Acc=95.80%
  Epo 204: Loss=0.1160 | Acc=95.80%
  Epo 205: Loss=0.1157 | Acc=95.80%
  Epo 206: Loss=0.1154 | Acc=95.80%
  Epo 207: Loss=0.1151 | Acc=95.80%
  Epo 208: Loss=0.1149 | Acc=95.80%
  Epo 209: Loss=0.1146 | Acc=95.80%
  Epo 210: Loss=0.1144 | Acc=95.85%
  Epo 211: Loss=0.1141 | Acc=95.85%
  Epo 212: Loss=0.1139 | Acc=95.85%
  Epo 213: Loss=0.1136 | Acc=95.85%
  Epo 214: Loss=0.1134 | Acc=95.85%
  Epo 215: Loss=0.1131 | Acc=95.85%
  Epo 216: Loss=0.1129 | Acc=95.85%
  Epo 217: Loss=0.1126 | Acc=95.85%
  Epo 218: Loss=0.1124 | Acc=95.85%
  Epo 219: Loss=0.1122 | Acc=95.85%
  Epo 220: Loss=0.1119 | Acc=95.85%
  Epo 221: Loss=0.1117 | Acc=95.85%
  Epo 222: Loss=0.1115 | Acc=95.80%
  Epo 223: Loss=0.1112 | Acc=95.80%
  Epo 224: Loss=0.1110 | Acc=95.85%
  Epo 225: Loss=0.1108 | Acc=95.90%
